描述,价格,房源类型,出租类型,可住人数,面积,省份,城区,房源评论数,房客评价,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分,房源好评率,近期预定量
"
                在北京有一家四合院，名字叫“和院致心”，寓意：和您在一起的院子，想让这里成为来北京的朋友的一个温馨的家。这个院子是明代传下来的院落，这是一座明代四合院， 曾经居住过京剧大师梅兰芳和将军廖耀湘，整个院子的大体结构没有改动，在软装方面经过了精心的设计和构思，全部是由我们自己装修设计的。她位于市中心东四南大街，灯草胡同中的三进四合院。

俯拾：俯拾即是，当下即是美好的。
简约而不失高雅的大床房。床头摆放的小盆景、玩石、古画，诉说着北京人玩味的精神。家居质朴的木语，辅以庭院的小景，让人只想捧起一卷诗书，闲听窗外雨打竹枝，静静地消磨时光。
在这里，可以感受一米阳光照进心房的温暖；可以体会一缕清风抚慰尘劳的柔情；还可以藉由一场雨来洗净心灵的疲惫。随意翻开几页书篇，在当下就能感受到“枕上诗书闲处好，门前风景雨来佳”的美好。
环境特别舒适，古朴的四合院，环境很温馨，内部设施都恰到好处。我特喜欢院内的绿植，有两枣树，且有个令人欣喜的，是四合院在多处都贴心的布置上二维码，扫码就能了解关于这儿的各种文化历史故事。

一进院，我们改造成了茶空间，想用来为客人提供一个喝茶、聊天的空间。这个院子里有两间客房，临着胡同，可以近距离感受胡同里的烟火气。另外，这里也可用于会议接待，我们可以帮忙准备投影仪设备，私密性很好，同时，也会有很多杂志拍摄团队和艺人团队过来取景拍摄。

二进院，是四合院的正院，有五间房，包括一间正房，两间厢房，两间耳房。房间风格比较古朴，院里种有两颗枣树，两颗玉兰树，一颗樱花树，和一颗石榴树，还有池塘里的荷花，意在打造一个有天有地有山水的庭院，让住客体验地道、惬意的老北京四合院生活。

三进院，是四合院的侧院，共有四间房，有着大大的落地玻璃，阳光洒满房间，采光非常好。

院子还有一个大大的露台，我们在上面种满了花草，有绣球花，格桑花，百日菊，萱草花，还有一颗大大的泡桐树，每天悉心浇水，花儿开的可好了~  白天可以上房揭瓦，看书，拍照，晚上可以坐在露台上，吹吹风，喝喝茶，披件小外套，抬头看星星，简直不要太舒心~ 

早餐精致，不多不少刚刚好，早晨喝杯咖啡听着雨落看着书，慢悠悠的，可享受了。O(∩_∩)O~

床铺设施舒适，我们将为您提供精致的四合院体验、周到的旅行定制、走心的管家服务：在传统的四合院里，享受高品质的现代生活，庭院、露台、书吧、茶空间，还有各类主题精品客房，带您体验不一样的北京四合院文化。
而且这个地方交通优越便利，去地铁站大约步行8分钟左右，可以走到地铁5、6号线北边的东四站或者南边的灯市口站。步行约10分钟可直达王府井大街，离北京天安门故宫骑车就17分钟，超级方便，都是胡同，离地铁站很近，到后海坐地铁很方便，骑车就20分钟。地理位置优越，配套设施完善，交通便利，周边旅游展览、时尚购物、各类美食一应俱全。
            ",1029,四合院,整租,2人,25平米,北京,东城区,0,,,100.00%,100.00%,100.00%,11,4.727,100%,22 晚
"
                我们为五湖四海家人提供真正有温度有品质有情怀的旅途归宿。
严选高品质家居用品、厨具灶具、恒温冰箱、全自动洗衣机、空调、大落地窗。
我们所有房源均与专业保洁，洗涤供应商合作。
所有与你肌肤相亲的棉质品一客一换，并且定期对房源进行消毒清扫！

            ",454,普通公寓,整租,4人,78平米,北京,房山区,6, 房间很好，房东很热情！做饭很方便～+ 说实话，价不配房。这个价钱完全可以住更好的酒店，线上服务很客气，线下就一副欠他钱的态度。不提供卫生纸，一次性拖鞋都得要了才给，建议谨慎选择。+ 房间很漂亮，住宿做饭都很方便，缺东西联系管家之后就马上给我们送，下次还会再来！+ 房间特别好 做饭很方便 吃火锅房东还送来锅，插板，油，糖。很卫生，很干净 这也挺漂亮，地方也大。落地窗看外面很好看+ 环境很好～空调也很舒服，还可以看电影电视剧啥的都可方便啦～而且一下楼就可以吃饭逛一逛啥的，都很好哦，下次还会来??+ 周边配套设施简直太全面了，房间整体来说不错。保守估计睡六个人没问题。和朋友小聚一起喝点酒，吃完就睡，楼下出了门就是24小时的商店。简直不要太方便。环境也没得挑，要是小两口有这么一套loft，简直太美好了,4.6,100.00%,99.00%,92.50%,22,4.441,92%,22 晚
"
                『遇见』公园里长阳地铁旁简欧Loft 【40分钟直达北京西站&智能门锁自助入住&梯控安保私密安全】 小区环境清幽绿化面积高公寓所在楼人口密度低，公寓楼下休闲广场水池喷泉，花坛里枫树花草等观赏植物，配上夜景照明宛如置身公园里。
Hi，很高兴认识你~ 想和您分享北京的家。相比起旅行，我更喜欢接待热爱旅行、热爱生活的朋友们~给您们在探索奇妙世界的旅途中 一个温暖舒适，可以好好放松的住所~ 房屋配置智能密码锁，刷身份证或手机开锁自助入住，出入无需钥匙门卡、专业保洁清扫。 【户型】我的房子是loft公寓1室1厅1卫，干净整洁，有厨房，左右双挑的loft设计共2张双人床，中间为4.2米挑高客厅，1张沙发床，有1个卫生间。客厅为落地窗，通风很好，清晨打开窗户呼吸下新鲜空气，精神焕发，开始一天幸福美好的生活 【客厅】客厅有北欧三人座沙发床、百兆wifi、椅子......沙发床可以睡一个人，您可以和家人一起玩游戏、看电影，让这个小家给您带来温馨舒适的感受 【卧室】主次卧各有1张1.5米双人床，希望您有个舒适的睡眠。【厨房】开放式厨房，为客人准备了电磁炉(使用需缴纳100使用清洁费）、微波炉、锅具、碗、盘、筷子、勺子、电水壶等用品。让您体验到家一般的感觉 【卫生间】吹风机,洗衣机,洗发沐浴液?毛巾?浴巾?洗漱用品均为您准备齐全,请放心使用,无需自带。
            ",399,Loft公寓,整租,4人,55平米,北京,房山区,6, 不错不错挺好的+ 地铁口出门就到，交通很方便，周边超市、餐厅很多，超赞的住宿体验！+ 地铁交通便利#  干净卫生#  + 停车方便#  干净卫生#  房东服务周到#  小区环境好#  下次还住这#  + 二次入住，地铁超级便利，房东小哥服务周到，还会继续入住的+ 离地铁很近交通方便，屋子内设施齐全，布置温馨干净，很不错的入住体验。,5,100.00%,100.00%,83.10%,1,5,100%,24 晚
"
                北欧清新风格的装修，低调奢华，配备意大利进口纯头层牛皮的高档大床和精致床品，三个豪华的北欧单人真皮座椅和大理石小圆桌，高档精品功夫茶具，55寸 海信网络液晶电视，可以实现手机投屏，免费的200兆wifi、以及独立的双卫生间（24小时热水是妥妥的）！如果您想做饭，厨房免费提供给您，厨具调料齐备，快来大展厨艺吧！
            ",425,普通公寓,整租,4人,68平米,北京,房山区,9, 房间可以但是没有图片那么大实际算小的，不愉快的就是为了想住的那间来的却没住到，店家也没有提前说而是到店了之后才被告知客人要续住，就忽悠人呗，提着行李又偏又不方便真懒得再找了+ 入住体验真的很好，做法的调料很齐全！ 入住也比较方便+ 地铁交通便利#  干净卫生#  房东服务周到#  设施齐全#  购物吃饭方便#  + 房间干净整洁 可以住下四个人 各种生活用品一应俱全 楼下也有很多小吃 有地铁站 交通便利   也可以做饭 各种调料都很齐全。很棒的一次入住体验 ～+ 干净卫生 停车方便 很不错??+ 不错，挺干净+ 很干净 不错 + 房东服务周到#  性价比高#  小区环境好#  设施齐全#  干净卫生#  + 房间不是很宽，整体感觉比较挤，挑高的问题，楼上楼下住着都比较压抑～飘窗安全护栏挺好，不用担心孩子玩不安全，但是飘窗上摆的瓷器很多，入住之后赶紧给收起来了，怕给磕了碰了的。楼梯是声控灯，晚上上下楼比较安心，但是楼梯玻璃护栏的包边有点瑕疵，孩子扶着上了一趟楼，手给划破了。整个入住最糟心的是木鸟平台，下单后加了房东微信才得知还有清理费，客服打电话来说在详情里标注了，但是不经过客服指导根本发现不了。由于是当天下单当天住，所以客服给的回复是不能取消预定。跟房东沟通，房东给的答复是，不付清60清理费就不给密码。于是私下转账60。5点左右过去的，去了之后开门里面还有人在打扫，又等了40分钟。,4.8,100.00%,99.00%,92.50%,22,4.441,97%,20 晚
"
                别墅安装电梯，KTV110寸液晶显示器，2台麻将桌，专业台球，兵乒球，360体感机，娱乐设施齐全。客厅红木家具真材实料，彰显您的身份和品味。2米*2.2米宽的红木床，定制乳胶床垫，更是提升您的睡眠质量。小区出门都是苹果园，草莓，可以采摘。春暖花香，让您感受田园风光。20分钟到小汤山温泉等休闲区。房屋带电梯，家庭团聚老人孩子都方便。室内中式风格，红木家具，一张2米*2.2米红木床，定制泰国乳胶床垫，天丝面料床品。客厅安装投影仪，360体感机，娱乐专业KTV，游戏机，台球，兵乒球，等一应俱全。别墅楼后就是苹果园，春暖花园，空气花香迷人，还可以采摘苹果和草莓等水果蔬菜。
            ",3980,独栋别墅,整租,40人,908平米,北京,昌平区,6, 挺不错的地方+ 可以烧烤，娱乐设施齐全，台球，乒乓球，两台自动麻将机，居然还有KTV，同事们玩的很爽！+ 一次完美的体验！+ 轰趴老板服务好，干净卫生，设施齐全，360体感机，麻将机有2台呢，我去过的地方都一台，德州扑克，狼人杀，桌上足球，台球等，房子面积大，能住下40呢，非常好的一次出行，会推荐朋友来+ 房东人好，热情，房间干净，用品也很有档次。还带电梯。别墅很大，值这个价格，这是我最喜欢的一个轰趴，点赞哦～+ 有电梯，适合老人小孩入住，房间很干净，房东很热情！好评！,5,100.00%,100.00%,86.70%,2,5,100%,16 晚
"
                房间宽敞明亮，整洁舒适，有一张双人床可以住2人，让您起居更顺畅，居住更舒适；室内环境舒适整洁、安静，适合学习，是学生、情侣、访友及来京短期进修、商务、公务或旅游人士的选择。
            ",218,小区住宅,单间,2人,12平米,北京,海淀区,7, 很干净，很舒服！+ 老板人很好。房间也可以性价比高+ 环境很棒，出门就有公交，交通挺方便的，性价比很高。+ 还可以  就是有蚊子+ 。。。。。+ 比较不错，屋子比较宽敞，卫生程度有待提高+ 基本上与图片一致,4.7,80.00%,100.00%,100.00%,11,4.809,94%,18 晚
"
                靠近医院，靠近地铁，有大阳台，光线充足，可以做饭，密码锁，适合亲子
            ",242,普通公寓,单间,2人,30平米,北京,朝阳区,1, 的确是个好房子，干净卫生，离医院特别近，装修蛮不错的，很温馨，好评,5,100.00%,100.00%,94.00%,9,5,100%,18 晚
"
                二层小楼，带有大阳光房，露天院子，可在院内烧烤，玩耍，步行可达景区，本农家院可提供吃住一体服务，方便您的出行。

小院提供亲子手工活动，带着宝宝一起做虎头帽，老虎包！陪伴孩子享受温馨的亲子时光！很适合三五个家庭一起出游，陪伴孩子们一起做手工，享受这愉快的假期！

别墅位于十渡镇西庄民俗村内十渡誓言玻璃栈道旁边，地处繁华，交通方便。
交通工具：公交，火车均可达。
自驾京昆高速广禄庄村口十渡方向。
附近有跑马场，小河边可划竹筏，景区有玻璃栈道，地下滑雪场，高山滑草，高山漂流，碰碰车，卡丁车，蹦极缆车，东湖港，孤山寨，游山玩水，应有尽有！
此同样房型我们有多套，可同时容纳几十人，适合大家庭，朋友聚会，生日宴会，商务旅游，公司拓展等团体出游。
预定多套房屋详情直接咨询
            ",788,农家乐,整租,19人,200平米,北京,房山区,1, 房子收拾的干净，饭做的也很好吃，特别满意，房东人也很热情,5,100.00%,100.00%,80.00%,2,5,100%,16 晚
"
                房间宽敞明亮，整洁舒适，有一张双人床，最多可住2人，让您起居更顺畅，居住更舒适；室内环境舒适整洁、安静，适合学习，是学生、情侣、访友及来京短期进修、商务、公务或旅游人士的选择。
            ",208,小区住宅,单间,2人,30平米,北京,海淀区,10, 干净卫生#  房东服务周到#  设施齐全#  可以做饭#  性价比高#  + 厕所比较小，不过这个价格这个条件可以了。+ 满意很满意。地理位置优越，楼下有公交，对面是北医三院。丽姐很热心，步行五百米是西土城。有吃有喝，还有超市发。性价比不错。晚上安静不吵。+ 干净卫生，房间通风有阳光。房东也是十分好沟通，有机会还是选择这家！+ 床比较小，被子算干净，不是图中这个，还算满意，毕竟价钱在那。体验还不错+ 挺好的，美中不足就是房子看起来有点旧+ 地铁交通便利#  小区环境好#  购物吃饭方便#  + 暖气挺好的+ 房子配置很齐全，房子收拾的很干净、整齐，交通特别便利+ 房间没收拾还有垃圾，图片与实际不符，体验很差。,4.6,80.00%,100.00%,100.00%,11,4.809,93%,19 晚
"
                房间宽敞明亮，整洁舒适，两张单人床，最多可住6人，让您起居更顺畅，居住更舒适；室内环境舒适整洁、安静，适合学习，是学生、情侣、访友及来京短期进修、商务、公务或旅游人士的选择。
            ",568,小区住宅,整租,6人,80平米,北京,海淀区,8, 还可以吧，房东挺热情的，交通挺方便的，总体还不错嘛！+ 感觉挺好的。+ 好评。+ 我们是来看病的，很近，方便，有热水，可以洗澡，可以做饭，有无线网，手机都可以上网，房东很随和，我们沟通愉快，有机会再来光顾，祝你生意兴隆。+ 房间环境和照片差不多，房东大哥很热情，周边有饭馆超市，公交地铁很方便，就在北医三院附近，我们看病很方便，还可以做饭。+ 价格合理，房子打扫较干净，无线网速也还可以，小区较安静，蛮方便的，房东很热情，这个假期过得比较愉快！！+ 房间和照片一样，很干净，采光好，温暖，有厨房，可以做饭，经济实惠，下次一定还光顾。+ 交通方便，经济实惠，物有所值。,4.9,80.00%,100.00%,100.00%,11,4.809,98%,18 晚
