名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
暖气开放！近衡水学院，经典一居，停车方便,"
                一室一卫40平开间，图片真实有效，室内有冷暖空调，双人大床，床上用品以及洗漱用品保证一客一换，沙发茶几，热水器全天候热水淋浴，液晶电脑，WIFI上网，是出差，求学的不二选择
周边描述

距离三百米，是学院小吃城，五百米是万德福超市，衡百国际，怡水公园，信誉楼超市，更舒适学院大学校区，市政府，
交通描述

对面是衡水学院，西边紧挨前进街高架桥，超大停车场，乘坐公交7路，12路，16路，21路，23路都可以到达，来往出租车很多，叫车很方便
            ",100%,46 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,40平米,提供,衡水-桃城区-河西和平路与前进大街交叉口的东北角 -恒丰蓝波湾,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '电脑', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '被子']","紧挨前进街，南北贯穿衡水南北外环，
万德福超市，衡百国际，信誉楼超市，衡水学院，中央美食街，学院小吃美食街，都近在咫尺，万德福超市，衡百国际超市，信誉楼超市，都是大型超市，",停车方便，小区门前7路，12路，16路，21路.23路公交车通过，到车站车程八分钟，到高铁站五分钟车程，,3, 还不错干净卫生+ 衡水学院附近独特的环境，小吃特多，交通非常便利，尤其我是自驾过来的，停车场面积超大，而且免费。屋内干净利索，日用品一应俱全，一开门就感觉热死扑面而来，暖和得很，洗了几件衣物次日起床全都干了，真是漂亮，心情尤为愉悦，+ 很赞的房东，房东很热情，房间很宽敞，感觉温馨又干净，环境好，晚上夜景超级美，楼下免费停车很方便，推荐入住，,96,5.0,100.0%,92.9%,86.9%,18,3.044
【衡水学院】/十三中/十四中/精装一室两厅,"
                用优质的服务建立自己的口碑与品牌。我们的房源位于衡水学院附近，这些房子都倾注了我们的心血和热情，为房客提供整洁干净的入住环境，让远道而来的朋友感受“家”的温馨，这是我们一如既往的宗旨和目标！期待您的到来，我亲爱的朋友。
            ",100%,18 晚,普通公寓,1室2厅,整租,双人床,1张,2人,1,62平米,提供,衡水-桃城区-和平西路-蓝波湾,衡水,桃城区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '洗浴用品', '牙具', '香皂', '刀具菜板', '燃气灶', '电饭煲', '灭火器']","高架桥畔，风景优美；北邻高铁站，超大免费停车场；楼宇内装有大品牌电梯；楼道干净卫生；24小时保安巡视；物业管理有序。
周边商圈、公园、多家银行、药店、超市、餐饮、一应俱全！竭诚欢迎您来体验。",交通便利，北邻高铁站；路口出租车招手即停；23路、12路、等多条路线从火车站直达20分左右衡水学院下车，西行100米左右路口东北角即到恒丰蓝波湾小区。,0,,99,,100.0%,100.0%,90.0%,4,5.0
【近学院】十三中|十四中|五中精装两居,"
                我们的房子满足拎包入住的便捷生活需求，房间布局典雅宽敞，屋内精心布置的床品，沙发，写字桌、等家居。
冷暖空调、WiFi、电视、冷暖空调、24小时热水、洗衣机、一次性用品。
配有一张双人大床，一张单人床，让您住的更省心更温馨。
            ",100%,34 晚,小区住宅,2室1厅,整租,双人床,2张,3人,1,98平米,提供,衡水-桃城区-前进街和平路交叉口东北角-恒丰蓝波湾,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '电吹风', '智能门锁']",紧邻衡水学院，高架桥畔，风景优美，交通便利，北邻高铁站，路口出租车招手即停；周边商业配套十分齐全，出小区左拐步行十几分钟左右到达信誉楼购物中心，小吃一条街，楼下有餐厅，超市；打车起步价即可到达万德福超市、衡百国际、怡水园，购物娱乐一应俱全。,位于衡水市桃城区和平路与前进大街交叉口东北角可乘12、23路等多条路线从火车站直达，20分钟左右衡水学院下车，西行100米即到恒丰蓝波湾小区。,0,,146,,100.0%,100.0%,90.0%,4,5.0
近【衡水学院】恒丰蓝波湾/十三中/十四中/精装大三居/可住5人,"
                。用优质的服务建立自己的口碑与品牌。我们的房源位于衡水学院附近，这些房子都倾注了我们的心血和热情，为房客提供整洁干净的入住环境，让远道而来的朋友感受“家”的温馨，这是我们一如既往的宗旨和目标！期待您的到来，我亲爱的朋友。
            ",100%,18 晚,普通公寓,3室2厅,整租,"双人床
双人床",3张,5人,1,105平米,提供,衡水-桃城区-和平西路-蓝波湾,衡水,桃城区,"['无线WIFI', '电视', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '餐具炊具', '电吹风']","高架桥畔，风景优美；北邻高铁站，超大免费停车场；楼宇内装有大品牌电梯；楼道干净卫生；24小时保安巡视；物业管理有序。
周边商圈、公园、多家银行、药店、超市、餐饮、一应俱全！竭诚欢迎您来体验。",交通便利，北邻高铁站；路口出租车招手即停；23路、12路、等多条路线从火车站直达20分左右衡水学院下车，西行100米左右路口东北角即到恒丰蓝波湾小,1, 感觉很好很棒,186,5.0,100.0%,100.0%,90.0%,4,5.0
衡院附近 租期灵活真皮大床环境舒适干净卫生,"
                你将度过一个温馨和谐舒适的晚上欧式装修 配备真皮舒适大床 有免费宽带电视吃喝用品 相信您睡个舒服的觉
            ",100%,34 晚,小区住宅,1室0厅,整租,双人床,1张,2人,1,30平米,提供,衡水-桃城区-站前西路889号万和苑北-北斗星城8号公寓,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '毛巾', '拖鞋', '电梯', '对讲门禁', '允许携带宠物', '接待外宾']",有电梯门禁 密码只能锁 保安全天执勤 小区周边设施齐全,位于学院附近交通便利多条公交线路通过,1, 干净整洁赞,109,5.0,100.0%,100.0%,97.7%,2,5.0
【康姐民宿】近北高速出口，二中五中，衡中，工人医院，一室套房,"
                可以做饭，做饭需另加30元，需要做饭的客户请提前告知，以便我们提前备好厨具和餐具
智能门锁，保证安全有保障，一室一厅独立客卧，隔音好，保证安静，全新空调，电视，电脑，高速WIFI，舒大软床，让你安心安静美美睡，沙发茶几，热水器全天候热水，吹风机，洗衣机，晾衣架，生活无忧，厨具餐具很齐全，买回食材自己亲手给家人做美食，享受一家人其乐融融， 小区内免费停车，有停车位，南临近汽车站火车站，北临近大广高速出口
周边描述

紧临怡然城大型购物广场，游玩，购物，加美食，附近衡水实验小学，九中，十四中，全国名校衡水志臻实验中学初中，全国名校衡水二中高中， 出门南行约10公里直达衡水湖湿地公园，衡水湖国际马拉松广场，衡水园博园，荷花园，，游乐中心，名校衡水中学， 北行2公里直接上大广高速（衡水北），门口多条公交线路，来往出租车繁多， 周边24小时超市，饭店，银行，路北工人医院，金棕榈电影城，怡然城购物美食广场，KFC，华莱士
交通描述！

位临主要形象主道榕花大街，北行2公里直接上大广高速（衡水北），门口多条公交线路，来往出租车繁多，停车很方便，
            ",95%,28 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,60平米,提供,衡水-桃城区-榕花北大街399号- 天鸿尚都,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '被子']",南邻怡然城吃购玩一体，电影院，饭店，银行，全国名校衡水二中（高中部），五中（初中部），到火车站汽车站，五分钟车程，楼下饭店很多，其中大饭店有壹城尚宴，加一会馆，满足你的各种口味，南邻怡然城吃购玩一体的大型购物商场，门口有工人医院，距离【全国名校】衡水二中，【全国名校五中】【全国名校十四中】东校区较近，距离火车站，汽车站，五分钟车程,位于衡水大型购物怡然城北邻，南行到车站5分钟车程房子位于榕花街，怡然城东北角，步行五分钟到怡然城，门口有10路，7路公交车，打车特别方便，北行大广高速口1.5公里，南行到车站5分钟车程,2, 真心不错，环境安静，床铺挺干净的，主要是离高速路口近，下次还住哪+ 卫生状况非好，老板非常热心。,128,4.8,100.0%,92.9%,86.9%,18,3.044
火车站附近精装公寓－－衡水桃城区便宜的短租房,"
                桃城区－－衡水火车站附近的精装公寓，电梯直达，经典户型，完美日租。


周围服务设施齐全，交通便利，租住时间灵活，三小时60元，超过三小时100元，十天以上九折优惠，经济实惠的价位，温馨舒适的环境，细致周到的服务，是您出差，访友，商务旅行的不二选择。


空调屋，液晶电视，全新家具家电，床上用品每客必换，6兆宽带免费上网，24小时热水洗浴给你带来温馨的居家环境，安全卫生。
            ",100%,20 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,35平米,提供,衡水-桃城区-怡然城附近-天鸿尚都,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '全天热水', '毛巾', '拖鞋', '一次性用品', '热水壶']",,,6," 地理位置非常好 价钱合理 比住宾馆划算房东态度很和蔼 下次还会选这家 会像朋友推荐+ 房东比较热情不错，挺好的，要求的事情也能帮办到，总的来说就是很满意，赞赞赞


+ 房间很干净，老板很热心，每次出门都会告诉我路线，房间很棒，地理位置优越，房东很照顾我们，总之赞一个。

+ 屋内配套设施很齐全 服务很贴心，环境很好，住着也很舒适，房东也不错。

+ 帮朋友订的 网上和图片一模一样  房子超乎朋友的想象 环境很不错……推荐给大家

+ 房屋很干净 入住很满意 房东很配合 要求的事情也能帮办到 赞

",100,5.0,100.0%,100.0%,100.0%,6,5.0
复式跃层，loft，双床，近哈院 车站 二中,"
                民宿对你而言，是一种体验，对于我而言，每一套房租都是我的艺术品，更是一种文化，每套房屋承载着我的爱好和梦想，还有艺术的升华！期待来自四面八方的朋友来体验和品鉴我的作品，一次合作一生朋友。
【户型】二室一厨一卫敞开式loft复式，落地窗，环境整洁，给你视野第一舒适感觉。
【客厅】客厅配备有品味双人沙发床一张，衣柜，百兆光纤网络，高速wifi，
【二楼卧室】卧室配备1.8米双人舒适大床，电视柜，品牌液晶电视，
【厨房】品牌油烟机，品牌电磁炉，锅具，盘子碗，调料食材自备，
【卫生间】卫生间配备吹风机。洗衣机，品牌大容量电热水器，保障24小时热水，品牌沐浴液。洗发水，一次性洗漱用品，拖鞋，
【优势】房间配备智能门锁，密码自动一客一换，安全放心安心，出入无需钥匙门卡，专业保洁团队，卫生有保障，舒适优质床品，给你舒适的睡眠护航。
专业入住指导，全程自助式入住，给你最舒心的感受。
            ",100%,32 晚,普通公寓,2室0厅,整租,"双人床
沙发床",2张,4人,1,65平米,提供,衡水-桃城区-人民路红旗大街245号-汇中广场,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '有窗户', '落地窗', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '洗涤用品', '电饭煲']","小区南邻衡百大楼，哈励逊国际和平医院，商贸城，九州饺子城，肯德基。
北邻汉釜宫自助烤肉，重庆火锅，微妹整形医院，华澳，德隆超市，吉美超市，休闲广场，红旗影院，火车站，汽车站，新华书店，新华路水果蔬菜市场，榕花街手机一条街，问津街烟酒批发一条街，人民公园。",位于哈励逊国际和平医院北邻高档小区内，东邻六中，二中，五中校区，南邻三中校区，步行到哈院三五分钟，到车站三分钟车程，小区门口公交站，到衡水湖公交18路，距离31路公交站台1公里，出租车繁多，交通十分方便。,0,,188,,100.0%,92.9%,86.9%,18,3.044
【康姐民宿】近哈院车站，二中衡中十三中，有停车场,"
                智能门锁，精装精致复式跃层，楼中楼格局，时尚轻奢高配置，全自动洗衣机，智能超大容量热水器，时尚欧式大床，品牌电视，二居南临哈院，衡百大楼，肯德基，汇中广场，精装复式二 居，北临休闲广场，车站。红旗影院，吉美超市，东临六中，三中，二中，五中，智能门锁，高档住宅小区，图片实景实拍，新房套房，可洗衣服，可做饭，全新品牌空调，品牌冰箱，品牌液晶电视，电脑，免费wifi，给你一个温馨舒适的家，临近哈励逊国际和平医院，华澳，火车站，汽车站三中，六中，南边是哈励逊国际和平医院，北边是火车站，汽车站，紧挨着休闲广场，吉美超市，红旗电影院，交通四通八达，距离31路站牌1公里，18路到衡水湖公交车在小区门口经过。
有地下停车场，
此价格不包含，加人，加时，发票，和做饭的费用，做饭需另加30元，需要的宾客请提前告知店家，以便我们提前做好准备
            ",100%,18 晚,普通公寓,2室0厅,整租,"双人床
双人床",2张,4人,1,80平米,提供,衡水-桃城区-哈院北门-汇中广场,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '被子', '泳池']",小区附近衡百大楼商业圈，哈励逊国际和平医院，商贸城，九州饺子城，北门对面汉釜宫烤肉，重庆火锅，唯美整形医院，华澳，德隆超市，吉美超市，休闲广场，红旗影院，火车站，汽车站，新华书店，新华路蔬菜水果市场，问津街，烟酒百货批发市场，人民公园，榕花街手机商业一条街,位于哈院北邻高档小区内，东临六中，二中五中校区，南邻三中校区，到国际和平哈励逊医院步行五分钟，到车站三分钟车程，到衡水湖公交18路，距离31路衡中公交车站牌一公里，门前多条公交经过，出租车繁多，,0,,258,,100.0%,92.9%,86.9%,18,3.044
欧式双人大床可洗衣做饭洗澡一居室,"
                房间装修风格简约而不失浪漫欧式双人大床，干净舒心有密码锁 安全隐蔽 可洗衣做饭洗澡
            ",100%,29 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,28平米,提供,衡水-桃城区-庆丰街站前路东北角-北斗星城八号公寓,衡水,桃城区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '允许抽烟', '允许携带宠物', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '被子']",周边小吃美食众多 商场林立,7 12 19 21 等多路公交,1, 干净，舒适，点赞！,98,5.0,100.0%,100.0%,97.7%,2,5.0
