名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
小清新 猪窝 家,"
                金鼎府邸短租房，适合1-4人居住。能做饭能洗衣，能带宠物能聚会。设施更齐全，价格更合理。超大露台设计温馨舒适，房间卫生整洁。并且满足您的各种出行方式。小区地理位置居于中心地带东邻各大饭店，特色美食街。西邻云天国际购物广场及淑阳派出所。南行是北方家具家居建材城。北行华联超市及人民医院。得天独厚的位置给您带来便捷的出行体验。
            ",95%,27 晚,普通公寓,2室1厅,整租,"双人床
单人床",2张,3人,1,85平米,提供,廊坊-香河县-迎宾路南200米-金鼎府邸-金街,廊坊,香河县,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '允许抽烟', '接待外宾', '被子']",小区内有200多家底商几乎生活中的消费项目全都有！半径500内有香百华联超市，肯德基，麦当劳，云天国际广场！人民医院，和第二小学就在小区的北侧。南层300米就是华北地区最大的香河家具集散基地（好百年 嘉仪隆 经纬家居 中意 居然之家 金钥匙 红星美凯龙 ...）,938   810  直达北京站,6," 干净卫生有点冷主卧有空调次卧没有都有 电热器
晚上楼上吵架 没睡好 整体还可以+ 可以做饭#  像家一样#  睡的很香#  + 非常满意 很不错 值得大家居住。+ 非常舒服，房东怕我家宝宝冷还送来了电暖气 很值得居住地房子。+ 入住体验真心非常好，到香河家具城很近，步行500米，我们一行5个大人，2个孩子（人有点多??）用房东帅哥的话说就是我们占大便宜了，专门给我们准备了新被子和被套。说说房间，很干净房间很新，所有设施都比较适合居住，卧室的床垫睡感好，被褥新洗的，闻到洗衣液的味道，可以做饭，调料齐全，还有米，房东帅哥还给提供了高压锅，卫生间里是法恩莎的卫浴，卫生纸也给供应齐全。最棒的是房东还给提供了婴儿推车，一共住了4晚，是我这次北京香河行住的最棒的，比北京600多的房间还棒！二胎出行的好住处！楼下就是菜市场，买什么都很方便。反正就是好。极力推荐大家住！+ 除了房间订的不是这套外，其他还不错…房东大哥，你的空调坏了??",178,4.7,100.0%,83.3%,96.2%,3,4.9
燕郊湾仔城温馨大两居,"
                房屋配置：房间为二室一厅一卫，南北通透户型。房屋家具家电齐全：电视、冰箱、空调、洗衣机、热水器、厨具、电脑、多媒体影音系统、空气净化器、加湿器、咖啡机、风扇。
电视：客厅55寸乐视智能电视，主卧和次卧分别配备50寸3D乐视智能电视。 它们都带有强大的语音控制系统。打开房门，只要轻轻的说一声：打开客厅电视，客厅的电视就马上开启，好的节目随心看。早上睡醒的时候，说声：“打开卧室电视”丰富我新闻就已经向你呈现了。
冰箱：小巧的冰箱，虽然小，但是里面有主人给每一位旅行者准备的免费的饮料和水果。
空调：客厅为2匹的空调，主卧和次卧分别配备了1匹独立的空调。
洗衣机：全自动洗衣店为每一位客人提供了快捷的洗衣服务，洗衣粉和金纺已经免费准备好。
热水器：全天24小时热水，希望能给旅途的你带来一些清爽。
厨具：干净的餐具和厨具以及米面油已经放在了厨房。这里的东西也是免费使用的，仅限正常试用，禁止铺张浪费哦
电脑：客厅电视下面配备了一条apple电脑连接了电视，随时随地可以上网下载浏览你想要的资料。主卧与次卧各同样配备了一台电脑，主要是希望每一位客人都有自己的独立系统，互相不影响。
多媒体影音系统：客厅、主卧、次卧、厨房和卫生间，分别都有独立的蓝牙音箱。如果你想听音乐就可以用你的手机或者移动端打开蓝牙就可以连接相应的影音系统。不管是早上起床的音乐，还是你在客厅聚会的音乐，还是你惬意的烹饪时，以及你在沐浴时，都可以享受自己的音乐。互相不打扰。
空气净化器：房间配备了美国ionicpro 空气净化器。这是目前数以数二的臭氧超静音空气净化器，它的功效你可以去问下度娘，威力大的不可思议。
加湿器：客厅、主卧、次卧，每个功能区配备了一给4升大容量超静音的《德尔玛》空气加湿器。希望你住这里不会感觉干。
咖啡机：厨房里有咖啡粉，只要动手就可以喝到自己冲的咖啡。
风扇：主卧和次卧按照了吊扇和坐式风扇，如果你受不了空调凉，打开风扇给你吹吹风吧。
PS：游戏机，如果游戏机算电器的话，那么客厅配备了一台will体感游戏机。还记得小时候的超级马里奥吗？还有你喜欢的网球，拿起电视下面的游戏手柄，试试它带给你的感受吧。
这是一个半封闭式的小区，负责人的安保不仅给业主带了安全，更多的是一份安静。
            ",100%,22 晚,小区住宅,2室1厅,整租,"双人床
双人床",2张,4人,1,89平米,提供,廊坊-三河市-燕郊镇湾仔城-湾仔城2号楼2单元502,廊坊,三河市,"['宽带上网', '无线WIFI', '电视', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '毛巾', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '允许抽烟', '接待外宾', '被子']","楼宇及小区情况：
小区是2015年新房，安保系统完善，小区绿化率很高，小区不大确很安静。小区门禁需要密码才能进入，并有独立的保安进行看管。24小时保证了小区的安全。每个房间都有独立的密码锁，需要凭密码进入。更保证了住户的安全。
外部周围情况：
周边有各种美食，各州商城、超市、医院、足够满足你的各种需求。银行：建设、工行、农业遍布周围。地标建筑：湾仔城广场。",周边就是817公交车，直达国贸。距离潮白河只有300米，打车进北京也超级方便。省去了在燕郊城里堵车的麻烦。,3, 很不错，很不错+ 服务热情，周围吃饭，超市都有。房间也很干净整洁， 总之各种满意的，这次入住相当满意！非常满意+ 非常棒的体验，房东人很好，提出的要求都能马上得到解决，非常满意，地理位置也非常好，下回还来这儿，比住酒店舒服不是一点，很棒！,468,5.0,100.0%,70.0%,80.0%,1,5.0
聚宝隆购物中心舒馨日租房,"
                房间干净整洁，配有一次性用品，24小时热水，无线WiFi，有独立卫生间，温馨舒适给您家的感觉，周围便利条件极好，楼下大型超市，肯德基，麦当劳等，期待您的入住！
            ",100%,30 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,45平米,提供,廊坊-固安县-新昌街聚宝隆购物中心-苹果公寓,廊坊,固安县,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '电吹风', '被子']",,,1, 不错，非常好,120,5.0,100.0%,100.0%,95.4%,4,5.0
高铁火车站万达旁超赞新房欣然小筑两居室,"
                我的房子是我精心装修的全新房,用品宜家采购,床品高端舒适,有问题随时联系我。如需开具发票，请于订单完成后至网站首页“我的”菜单中开具（需支付6%税费）。
            ",97%,26 晚,小区住宅,2室1厅,整租,"双人床
双人床",2张,4人,1,70平米,提供,廊坊-广阳区-建设路25-1号-天泰人和,廊坊,广阳区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '电脑', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '允许携带宠物', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '接待外宾', '有窗户', '沙发', '茶几', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电饭煲', '微波炉', '灭火器']","我的房子位于廊坊核心地段,距离高铁站火车站长途汽车站仅1公里,距离万达广场苏宁广场明珠商厦仅1.2公里。距离室内两家最大医院仅1公里。吃住行游购娱均万分方便","小区门口有多个公交站点,可选择多路公交出行,下载掌上公交App即可。开车的话车可停在小区内部或者外部路边多个免费车位",7, 我和我朋友四个人住的很满意。学生党可以小聚一下在里面，厨具很全。+ 房间跟图片是一模一样的，每个房间都有一个空调，屋子很干净，生活用品也是特别齐全的，洗发水和沐浴露是阿道夫的，很满意的一次入住+ 房子非常舒适干净，孩子老人很喜欢，祝生意兴隆！+ 很好的感觉，像家一样+ 很棒。这个房子跟图片一样 + 挨着车站和万达都很近，吃住玩和出行都特别方便，房东大哥人也很好，有插曲但是完满解决了。房间装饰考究，宽敞，推荐。+ 非常不错，环境干净，味道清新，喜欢。,248,4.9,100.0%,100.0%,100.0%,4,4.975
通州潮白河孔雀城妙曦两房,"
                妙曦之家处于北京市通州区潮白河孔雀城风景区，临近潮白河及五环世纪公园，距离影视基地小镇5公里，周边风景秀丽，篮球场，网球场，足球场，许多家庭出游，带上帐篷，尽情放飞着风筝，感受着大自然……
我家的小屋是日式风格榻榻米装修，纯实木地板，让人感觉舒适怡然，倍感放松。午后一杯清茶，在榻榻米的阳台上，看着窗外郁郁葱葱的景色，去静心感受午后慵懒阳光沐浴，心旷神怡……！
房屋有两间卧室，全部是实木榻榻米装修，可满足5口之家下榻入住，尤其是小婴儿也能放心在榻榻米上爬行游玩，不必担心危险。
房屋内家具、家店、厨房灶具一应俱全，芝华士沙发，液晶电视，冰箱，红酒恒温柜，洗衣机，热水器，燃气灶具，锅碗瓢盆等极大的满足一家人日常生活。
我家的小屋特别欢迎有宝宝家庭入住，特别为宝宝提供:安全餐椅、宝宝摇摇车、宝宝绘本和玩具等等……让宝宝们也能享受属于他们的假期哟……
我家小屋周边超市步行5分钟，小区门口饭店选择多多，药店，洗衣店，银行，诊所都很便捷。
到达路线:自驾导航北京市通州潮白河孔雀城
地铁:6号线潞城站，八通线土桥站，而后距离房屋位置10公里。

妙曦之家，欢迎您的入住喔……

            ",100%,26 晚,普通公寓,2室1厅,整租,"沙发床
榻榻米",3张,6人,1,88平米,提供,廊坊-大厂回族自治县-祁各庄镇-潮白河孔雀城英国宫五期,廊坊,大厂回族自治县,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '电梯', '餐具炊具', '电吹风']",,,0,,399,,100.0%,100.0%,100.0%,1,5.0
诗人民宿_燕郊燕顺路纳丹堡温馨两居室,"
                小区地处燕郊燕顺路超繁华的地段，购物方便，大型商超“乐天玛特”、“星罗城”、“沃尔玛”均在两三站地内。小区边上就是社区医院（以防万一），
房子是自己家住的，之前是一居，后改的小两居，室内采光很好，小区环境非常好，适合晚上遛弯，室内的装修算不上高档，但是完全不比快捷酒店差，社区环境安静舒服，
小区附件的商业街可以满足衣食住行所有需要，十分方便
            ",100%,26 晚,普通公寓,2室1厅,整租,双人床,2张,4人,1,61平米,提供,廊坊-三河市-燕郊区燕顺路西侧-纳丹堡,廊坊,三河市,"['无线WIFI', '淋浴', '洗衣机', '电冰箱', '全天热水', '拖鞋', '一次性用品', '电梯', '保安']",周边设施: 五百米服务：超市、菜市场、提款机、药店、餐厅，有电影院，十几家大型饭店，几家大银行,"燕顺路纳丹堡,欧式建筑小区，花园式小区。燕郊区内公交车线路很多，门前有815/819/818路公共汽车40分钟可直达国贸和45分钟草房地铁6号线。小区离燕郊火车站骑自行车10分钟，私家车拼车十分流行，10块钱专车享受",1, 买菜做饭很方便，交通也方便。,148,5.0,100.0%,75.0%,100.0%,4,4.925
固安温馨小栈 天园四期 一居室,"
                屋子干净卫生，一次性洗漱用品，家电齐全，无限入户，温馨大床，让你美美的睡一觉，购物吃饭方便，室内能做饭，调料齐全，还能让你美美的做上一顿美味佳肴！四个人跟两个人的费用不一样！
            ",100%,40 晚,普通公寓,1室0厅,整租,"双人床
沙发床",2张,2人,1,56平米,提供,廊坊-固安县-龙堂新苑(育才南路西470米)-天园四期,廊坊,固安县,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '被子']",我们小区有公园，环境优美，200处就是超市，走出小区就是饭店，再出差之余还能美美吃上一顿！,交通方便，有1路！,0,,138,,100.0%,100.0%,100.0%,2,5.0
固安生态公园 电影主题大床房,"
                全天热水，WIFI，有线网络，空调，洗衣机等，更有投影仪和免费会员观影随心看。
            ",100%,22 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,48平米,提供,廊坊-固安县-新昌街21号-苹果公寓,廊坊,固安县,"['宽带上网', '无线WIFI', '淋浴', '空调', '暖气', '洗衣机', '全天热水', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '电吹风', '被子']",周边有人民广场，中央公园，固安生态公园，白广寺，动物园等多处景点，紧邻聚宝隆购物中心。,,0,,138,,100.0%,70.0%,95.0%,5,1.0
丹凤公园 奥莉泡泡美式风格精品小屋,"
                大家好，我的房子在廊坊市孔雀城丹枫园苹果公寓

我们来简单介绍一下房子的情况吧，房子位于黄金地段，黄金楼层，简约一居室，家居家电齐全，装修有特点，非常适合年轻人居住，房子朝阳面，采光好，房租格局和面积设计非常合理，让人感觉非常舒服、小区环境优美，适于居住，人文素质高，物业管理完善，小区绿化面积大，空气好，让你感受花园一样的家。最主要私密性好。
            ",100%,34 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,30平米,提供,廊坊-广阳区-北凤道与裕华路交口东北侧-孔雀城丹枫园,廊坊,广阳区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '电梯', '保安', '对讲门禁', '电吹风', '智能门锁', '接待外宾']",,,1, 很好，房东服务态度也好,138,5.0,100.0%,100.0%,82.9%,5,3.0
钻石国际干净一居室,"
                酒店式公寓位于高铁廊坊站马路对面的钻石国际大厦，电梯直达楼层。附近有钰海嘉苑小区公交站和廊坊站公交站（14，19，24，26a，26b，28，35路等）。特有两间双大床房（1.8×2米），另有沙发。 公寓洁净、舒适，严格遵循“一客一换一消毒”制度，一次性用品齐全、品质好。可空手入住。有两瓶迎宾农夫山泉，房间独立光纤宽带和wifi，独立卫浴，电开水壶，吹风机，液晶电视，空调，地暖，洗衣机，冰箱，沙发和厨房……。可洗衣做饭。是您出差，探亲，旅游，聚会的不二选择。
            ",88%,16 晚,小区住宅,1室0厅,整租,双人床,1张,2人,1,46平米,提供,廊坊-安次区-常甫路-钻石国际,廊坊,安次区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '餐具炊具', '电吹风', '允许携带宠物']",,,2, 停车方便#  房东服务周到#  美女房东#  房东热情好客#  房东是个活地图#  + 房东服务周到#  设施齐全#  干净卫生#  ,148,4.4,100.0%,100.0%,95.8%,5,2.78
