名称,描述,房源好评率,近期预定量,房源类型,户型,出租类型,床型,床数,可住人数,独卫数量,面积,发票,地址,省份,城区,配套设施,周边设施,乘车路线,房源评论数,房客评价,价格,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分
Loft北欧风两室两卫近天津机场地铁可直达天津站塘沽开发区近民航大学附近宜家新业,"
                天津滨海国际机场附近，火车站乘9号线地铁可直达，下车后步行10分钟即可入住。距天津滨海新区20分钟车程，9号线可以直达。
米粒壹家是经典Loft户型，全明。家具家电齐全，可做饭。米粒壹家房东为您精心挑选了枕边书，愿不辜负每个相遇的日子。会不定期为您提供免费时令水果或零食（不承诺每天都有）。米粒壹家主要是以猫为主题的民宿。开店限时优惠中…电视,冰箱,洗衣机,微波炉,热水器,净水器,烤箱，可做饭。还有房东精选的枕边书。
            ",100%,16 晚,小区住宅,2室2厅,整租,"双人床
单人床",2张,3人,2,102平米,提供,天津-东丽区-合兴路-蓝庭公寓1期,天津,东丽区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '落地窗', '沙发', '茶几', '净水机', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电饭煲', '微波炉', '灭火器']",附近有宜家，新业广场购物广场，红星美凯龙，农贸市场，大型超市等。,附近天津滨海国际机场，火车站地铁9号线可直达，下车步行10分钟即可到达小区，公交总站多条公交线路。,7," 像家一样#  睡的很香#  设施齐全#  干净卫生#  + 超级舒服，房子的装饰超级喜欢，住的很舒心+ 民宿宽敞整洁 房东小姐姐人也超级nice！还给我们推荐玩的地方，下次有机会还住这儿 + 这次是带着高考结束的弟弟来天津毕业旅行 真的住进来的时候 我弟弟说要是以后能住这种房子就好啦 所以房子是很温馨的 房东姐姐也是 声音很温柔 有问题能很好的和我们说 不管是厕所还是房间 卫生都很好 我真的觉得住酒店不如住这个公寓 感觉像自己家一样 住的非常舒服 设施很齐全 装修也很好看 交通很便利 外面就有公交 边上还有很多便利店 而且吧 房子不是钥匙而是密码锁让我非常的开心 因为带钥匙很麻烦 密码锁刚刚好 一客一锁 我觉得我要是有机会再来天津 一点会再选这个房子+ 干净卫生#  性价比高#  可以做饭#  空间真大#  房子好找#  + 真的是好棒的房子，很温馨。装修风格好喜欢。离地铁站不远。周围有商场，电影院。周围还有宜家商场。第二天转机，离机场很方便。+ 特别喜欢！??
感谢米粒壹家提供的这次美好旅行～ 一进门就是干净整洁的客厅，因为是下午入住的所以阳光很好，心情也很好。房间是密码锁 方便安全，不用担心忘带钥匙啦??
这种复式是一直都梦想拥有的小房子。住进来也感觉到了温馨以及房东一家的用心，装修风格非常喜欢！可爱的猫耳拖鞋竟然还有小宝宝的，真是相当贴心了。
不管楼上楼下所有用品全部干净整洁，用着很顺手，住得也非常舒服。附近不管买东西买菜还是外卖都很方便，离宜家很近，想逛逛的完全可以骑自行车去???♀?
小区环境也不错，那种生活的氛围非常感染我们，只想和男朋友原地结婚，就在米粒家的房子里??
总之是一次非常不错的体验。
PS：当然了…离机场很近就距离市区有那么一丢丢远，不过相对着五一人挤人的时候，我俩是非常悠哉的度过哒～",268,5.0,100.0%,100.0%,100.0%,1,5.0
舒适大床房。近南市食品街，鼓楼。,"
                公寓WiFi全覆盖，楼下就是大悦城商业区。
房间布局简约不简单，温馨而舒适，给您带来家一般的感受。
公寓24小时供应热水，居住体验好，温馨舒适。
            ",97%,20 晚,普通公寓,1室0厅,整租,双人床,1张,2人,1,30平米,提供,天津-南开区-南门外大街-大悦城公寓,天津,南开区,"['无线WIFI', '电视', '空调', '暖气', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '电吹风', '被子']",周边景区有南市食品街、鼓楼、古文化街等。,"距大悦城仅5分钟步行路程；
距离天津滨海国际机场15.4km；
距离天津站2.5km；
距离天津北站4.5km；
距离天津南站13.4km；
距离天津西站3.2km；
距离西北角1.8km。",3, 挺不错的还+ 设施齐全#  + 地铁交通便利#  购物吃饭方便#  ,138,4.8,100.0%,100.0%,95.0%,6,4.15
海河外滩旁 精装复式 Loft一室一厅,"
                精装复式Loft 海河旁 海景房
            ",99%,36 晚,普通公寓,1室1厅,整租,双人床,1张,2人,1,48平米,提供,天津-滨海新区-滨海新区响螺湾中央商务区-中惠熙元广场,天津,滨海新区,"['宽带上网', '无线WIFI', '电视', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '拖鞋', '电梯', '保安', '餐具炊具', '被子']",响螺湾中心商务区 于家堡 外滩,海河开启桥旁，交通便利，110.821.940.529.130.131.524.605.617等路公交车，出行便利,10, 性价比高#  停车方便#  可以做饭#  地铁交通便利#  干净卫生#  + 很不错??+ 房间不错 ??+ 照片和实景是对应的，装修温馨，设施也舒适。周边环境是真好，楼下就是海河，有沿河木廊可以散步，房里就能看到海景。房东服务也很到位，总体满意好评。+ 很满意，跟图片描述的一样，干净卫生，希望再添加一些筷子和洗手液或香皂+ 室内干净明亮 基础设施完善 地理位置优越 老板细心周到 唯一不足就是洗澡间下水口排水速度稍微有些慢+ 老板人很好，房间也好，离想去的地方很近，外面景色也漂亮，就是烧水壶不好用+ 棒棒哒，很温馨+ 房间一如既往的好，干净整洁，和图片一样，必须五星，赞赞赞+ 房间非常好，设施齐全，就像在家一样特别方便，什么都有，房东很热情，特别赞，非常喜欢,218,5.0,100.0%,100.0%,87.0%,1,4.9
近意风街海河天津之眼带投影亲子浪漫两居,"
                房东是一名真诚的天津土著，副业民宿做得既认真又用心。房间装修真实，所见照片即实景。床品保证一客一换，并特意选择不同款式颜色的床品轮流更换，我们对您健康的呵护，由您亲眼见证！
高清投影仪、浪漫云朵灯、亲子上下铺，为您旅途增添趣味！
冰箱、锅具、调料、燃气灶、空气炸锅、烤箱、酸奶机、料理棒等，便于您下厨大展厨艺！
另外贴心添置洗衣烘干一体机、电熨斗、熨衣板等设施，即使没有携带备用衣物，也能随时开始干净清爽的旅程！

民宿地址位于天津鼓楼/老城厢商圈内的高档小区，治安情况良好物业管理有序。小区旁边即有派出所、医院和各类便利店，为您旅途更添一层便利和保障。

民宿地点繁华交通便利，出门不远即有地铁。方圆五公里内，有鼓楼、天津之眼、古文化街、意大利风情街等景区。您在楼下散散步即可到**近的景区。

房间内部结构为两室一厅一厨一卫，轻美式亲子装修风格，允许携带宠物，既适合家庭出游，共享天伦之乐；也适合与伙伴们结伴出行，共度美好假期。

为了让您的旅行更加舒适，我们贴心地为两室一厅都添置了空调，并配备投影仪、幕布、液晶电视和一些书籍，您可以在这里尽情与家人朋友分享读书或者观影的体验。

舒适的双人床、清新风格的亲子上下床，铺设了柔软亲肤质地丝绵床品或无印良品床品，希望您在旅途中得以更好地休息。

亲子帐篷、云朵灯、卡通地毯、迪斯尼拖鞋等设施，是我们专门为小朋友和有童心的您准备的。孩子们**喜欢在帐篷里玩耍，读书，我们添置了一些书籍在房间里，希望让您的旅途更加有趣！


厨房配备基本厨具、灶具、餐具，另配备烤箱、空气炸锅、酸奶机、搅拌棒等设施。烧水壶是饮用水专用的，您可以用来烧取热水，房东会对烧水壶定期清洁消毒，请放心使用。

如您需要与家人和朋友共同下厨制作丰盛的食物，需要请您自行清洁厨房，包括清洁厨具、餐具等。

『Homy用心住』用心，让生活更美好。
            ",100%,26 晚,普通公寓,2室1厅,整租,"双人床
沙发床
双层床",3张,6人,1,87平米,提供,天津-南开区-鼓楼街道城厢西路-尚佳新苑,天津,南开区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许携带宠物', '被子']",方圆5公里内，有鼓楼、大悦城、意风街、古文化街和天津之眼等景点。,"『Homy用心住』之本套房源位于天津繁华商圈鼓楼街，交通便利，方圆5公里内有鼓楼、天津之眼、古文化街、大悦城和意风街等景点。

鼓楼景区、大悦城步行可达；
距离天津之眼不到两公里；
距离意大利风情街三公里左右；
距离古文化街一公里余；
距离五大道风景区五六公里左右。

距离天津站/津湾广场3.9公里，打车方便快捷；
距离飞机场15.4公里，可以直接打车前往机场，也可以选择前往最近的地铁站换乘至机场，节省时间不堵车。",6, 很干净，进去有消毒水的味道，床单被单也是换洗过的，可以做饭，但是出于公共区域考虑所以没用里面的锅，双人床挺舒服的，就是小屋子的床很硬。小姐姐性格超好，我们那天临时有事情所以晚退了房小姐姐也同意了，爱你，下次再来。地下车库一小时五块，停了一晚上画了七十大洋，建议停外面。+ 很不错的一次住宿体验，干净卫生，交通便利，下次有机会还会选择这里+ 地铁交通便利#  + 停车方便#  地铁交通便利#  可以做饭#  设施齐全#  干净卫生#  + 房间干净，棒！床品都是新的，棒棒！儿童房温馨可爱，玩具超级多，棒棒棒！晚上十点多到的，第二天五点多就要离开，本想进屋就睡觉，结果媳妇儿被儿童房吸引，生生拍了两个小时照片！本来媳妇儿对行程不甚满意，但是，儿童房把我拯救了！棒棒棒棒！下次来继续住你家！+ 房东小姐姐人很好，重点是房子真的很不错啦，超漂亮又很干净，设施什么的都很完善，图片超级真实,318,5.0,100.0%,100.0%,100.0%,1,5.0
现代极米h2轻奢100寸投影Loft/方特欢乐世界/网红图书馆,"
                房屋内装无线网，给您1天好心情。室内设有麻将桌，营造出一片舒适惬意。房间里都配有齐备的生活设施，可满足您的日常生活所需。闲来还可到彩带公园躺在干净舒适的床上，在鸟语花香中醒来，美美的伸个懒腰，无比惬意。
            ",100%,36 晚,普通公寓,1室1厅,整租,"双人床
沙发床",2张,2人,1,68平米,提供,天津-滨海新区-庆盛道与坨场南道交叉口 -中惠熙元,天津,滨海新区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '电脑', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '电吹风', '接待外宾', '被子']",,,1, 挺不错的 窗外风景蛮好 还有个麻将桌可以娱乐一下 就是这个季节楼里中央空调停了室内很热 建议加个小风扇,238,5.0,100.0%,100.0%,95.8%,8,4.125
玫瑰庄园内 私人聚会别墅跨界轰趴,"
                朋友相聚、家庭PARTY、浪漫求婚、毕业狂欢、就来跨界轰趴来一场属于你自己的盛宴！大家一起撸个串、唱首歌、开个黑、在搞一下脑力活动桌游一下、台球一杆、搓麻一场、**后用XBOX ONE来发泄一下我们剩余的体力。夜深了大家聚在一起谈天说地，这种记忆值得我们一起回忆。
跨界轰趴私人聚会别墅，室内4层400平米，室外100平米小院，内有设施比赛级桌球、DIY厨房、烘焙、BBQ烧烤、自动麻将机2台、XBOX ONE、五连坐开黑、DIY手工、专业KTV音响、休息区、桌游，提供24小时热水可以沐浴。
            ",100%,20 晚,独栋别墅,5室3厅,整租,"双人床
双人床
榻榻米",3张,13人,3,500平米,提供,天津-津南区-赤龙街1号-玫瑰庄园,天津,津南区,"['无线WIFI', '电视', '淋浴', '暖气', '电冰箱', '全天热水', '厨房', '被子']",周边五百米服务：超市、菜市场、提款机、餐厅,地铁1号线双林地铁站下车，打车1公里即达。,0,,1800,,100.0%,70.0%,80.0%,3,5.0
南京路瑞竹大厦豪华LOFT公寓两室一厅,"
                天津瑞竹公寓式酒店是打造天津高端复式酒店公寓，属于上下两层的复式结构，公寓电器配置齐全。
公寓为两室一厅一厨一卫，房屋面积约为108平方米，可供四人入住。
欧式风格的装修典雅大方，所有房间均配有自动刷卡门禁设备，所有房间尽可享受无线wifi，床品一客一换，洗漱用具齐全，是出差、旅行、休闲的不二选择。

            ",100%,38 晚,普通公寓,2室1厅,整租,"双人床
双人床",2张,4人,2,108平米,提供,天津-和平区-南京路239号瑞竹大厦1号楼-瑞竹大厦,天津,和平区,"['无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '对讲门禁', '餐具炊具', '电吹风', '允许抽烟', '接待外宾', '被子']",公寓位于和平区，向南走是有一百多年历史的五大道风情区、繁华的滨江道、西开教堂；向东走是始建于公元一四零四年的天津鼓楼及有丰富美食的南市食品街，以及天津之眼、海河、意大利风情区；向西紧邻南开大学、天津大学，地理位置优越，交通便利。,"距离地铁1号线海光寺站约500米；
距离天津站（东站）约4.5公里；
距离天津西站约5.4公里；
距离天津滨海国际机场约20.4公里。",5, 很干净住宿很舒服！+ 房东特别好，我带着宝宝不方便还让我们多休息会…位置属于中心地带，这个价位值了，里面的设施也很齐全，总之很满意。当时着急没有拍图片，总体很好??+ 满意，房东有求必应+ 这次是为外地的朋友代订的，朋友是举家出游，看到一家人对该套住房赞不绝口，我的心也放下来了。朋友说了他们的感受:交通便利，小区安静，房间配备有门禁卡，很安全，再说居住感受.如同自家舒适，床用干净品质好。朋友家是第一次住民宿，他说肯定会有第二次，一定要把这种方式推荐给朋友+ 到天津旅游，进来第一眼就爱上这里，家里的感觉，特别喜欢,378,5.0,100.0%,100.0%,100.0%,2,5.0
【梦想家LOFT】瑞竹大厦两室一厅两卫（滨江道、天津之眼、总医院附近）,"
                天津梦想家loft公寓是天津市中心高端复式公寓，紧邻滨江道商圈、海光寺商务区核心。公寓距离天津站3公里、天津西站4.2公里；距离天津南站17公里，乘坐出租车约40分钟； 距离天津滨海国际机场21公里，乘坐出租车约45分钟。
周边1000米内有海光寺、鞍山道两个地铁站，交通方便。滨江道、天津之眼、五大道、瓷房子、意大利风情区、鼓楼、古文化街等天津主要景区都在附近，非常适合出游居住。公寓周边生活方便，周边有家乐福超市、万全道菜市场、饭店商场众多。周边紧邻天津大学、南开大学、天津总医院、血液病研究所等。
公寓为上下两层的复式结构，设施完善、24小时安保服务、免费停车。公寓内部干净、安静、隔音好。房间使用面积超大、挑高5.25米的高大宽敞。楼下为厨房、卫生间、客厅；楼上为主卧、次卧卫生间，不同房型可满足各种需求，可居住2-6人。公寓内部家电齐全，中央空调给您舒适感受。使用床品、洗浴用品均为高档用品，使用热水专业洗涤，卫生干净。内部洗浴及其他一次性用品均一客一换，公共区域白班不间断打扫，公寓内部每日住间打扫、定期全面消毒。可使用公寓内厨房免费自助做饭，公寓免费提供天然气、餐具、厨具，让您有回家的惬意和舒适。非常适合家庭和多人居住。两室一厅两卫正常入住4人加床后，可增加入住1-2人。
天津梦想家loft公寓期待您的光临。
            ",100%,79 晚,普通公寓,2室1厅,整租,"双人床
双人床",2张,4人,2,90平米,提供,天津-和平区-南营门街南京路239号-瑞竹大厦,天津,和平区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '热水壶', '电梯', '保安', '对讲门禁', '餐具炊具', '电吹风', '智能门锁', '允许抽烟', '允许携带宠物', '接待儿童2到12岁', '接待婴幼儿2岁以下', '接待老人60岁以上', '有窗户', '沙发', '茶几', '挂烫机', '洗浴用品', '牙具', '香皂', '刀具菜板', '调料', '洗涤用品', '燃气灶', '电磁炉', '电饭煲', '微波炉', '灭火器']","公寓位于天津市中心，滨江道商业街美食街、五大道、瓷房子、天津之眼、意大利风情区、鼓楼、古文化街等天津主要景区均在3公里内。
楼下有海光寺、鞍山西道两个地铁站，交通方便，公寓提供免费停车。
天津大学、南开大学、天津医科大学总医院、血液病研究所、天津眼科医院均可步行15分钟内到达。
楼下为宏瑞广场内有健身房、饭店等、200米内有大型商场超市。","距天津站3公里。如乘坐公交天津站5号口上8路车，7站后南京路海光市地铁站下车，步行199米到达；如乘坐地铁天津站3号线上车，南站方向，3站营口道换乘1号线刘园方向，2站海光寺地铁站C口出站，步行634米到达；如驾车或打车南京路239号瑞竹大厦下车，需18分钟。
距天津西站4.2公里，地铁天津西站1号线上车，东沽路方向，4站海光寺地铁站C口出站，向东步行634米到达；如乘坐公交西站上车，乘坐631或840或829路今晚报大厦或海光寺公交站下车，步行200米到达；驾车或打车南京路239号瑞竹大厦下车，需23分钟。
距离天津南站17公里，乘坐出租车约40分钟；如乘坐地铁，南站3号线上车，小淀方向，12站营口道地铁站换乘1号线，刘园方向，2站到达海光寺地铁站C口，向东步行634米到达。
 距离天津滨海国际机场21公里，乘坐出租车约45分钟；地铁乘坐2号线，曹庄方向，乘坐13站，西南角地铁站换乘1号线，往东沽路方向，乘坐2站到达海光寺地铁站C口，向东步行634米到达。",10, 停车很方便 ，房间有天然气做饭很方便，周边购物也很方便 。房间很大 ，家电特别齐全  ，像家里一样 。大家都很满意 + 房间干净，服务热情，性价比高 + 房间在天津市中心，去哪儿都很方便，周边购物很方便房间干净，服务热情，性价比高。 + 再一次过来住，房间还是特别干净很舒服，性价比超高。+ 房间距离医科大学总医院很近，周边购物也很方便，房间家电家具很齐全，做饭也特别方便的，房间很干净，性价比超高+ 很高兴入住了贵酒店，环境，卫生，服务，交通，都让我很满意下次再来吧+ 卫生干净，设备齐全，服务态度热情，交通方便，是一个，下次还会再来+ 地理位置好，房间干净，服务热情+ 房间特别干净，服务特别热情，性价比超高+ 非常满意，有了舒适的住处，干净，服务态度热情设备齐全，连做饭的都有，回到家不用再点外卖了，下次一定还会再来,295,5.0,80.0%,98.9%,88.8%,4,4.95
时代大厦美嘉公寓,"
                中央空调.豪华精装修木地板，数字液晶电视,高配置电脑，24小时热水，免费wifi上网；冰箱,全自动洗衣机,双人布艺软床,床上用品一客一换。
            ",100%,42 晚,普通公寓,1室1厅,整租,双人床,1张,3人,1,40平米,提供,天津-滨海新区-塘沽洋货市场河北路与抚顺道交口-时代大厦,天津,滨海新区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '洗衣机', '电冰箱', '全天热水', '厨房', '电脑', '毛巾', '拖鞋', '一次性用品', '热水壶', '电梯', '保安', '电吹风', '允许抽烟', '接待外宾', '被子']",滨海新区时代大厦酒店式公寓坐落在塘沽区繁华中心位置.楼下便是全国有名的洋货市场.距离海河外滩.极地海洋馆.步行街也只有五分钟路程.周边云集了大量购物中心、中西餐厅、ktv、健身娱乐中心及银行。,滨海新区时代大厦酒店式公寓坐落在塘沽区繁华中心位置.楼下便是全国有名的洋货市场.距离海河外滩.极地海洋馆.步行街也只有五分钟路程.周边交通便利.四通发达.距火车站只需十分钟路程.津唐轻轨站下楼便到,3, 房东服务周到#  干净卫生#  设施齐全#  性价比高#  空间真大#  + 接待员很热情，一次不错的选择，下次过去还要选择你们+ 停车方便#  房东服务周到#  设施齐全#  性价比高#  地铁交通便利#  ,150,5.0,80.0%,70.0%,95.6%,5,4.64
蓟州区如蓟山居核桃小院悠闲小屋,"
                独享小院私人空间，不受打扰，装修雅致，处处都是亮点，配套齐全，想你所想，一个静心养神，家人朋友小聚的好去处！
            ",93%,18 晚,客栈民宿,3室0厅,单间,榻榻米,1张,3人,1,20平米,提供,天津-蓟州区-小岭子村,天津,蓟州区,"['宽带上网', '无线WIFI', '电视', '淋浴', '空调', '暖气', '洗衣机', '电冰箱', '全天热水', '毛巾', '拖鞋', '一次性用品', '热水壶', '保安', '餐具炊具', '电吹风', '允许携带宠物', '接待外宾', '被子']",,,2, 嗯不错不错+ 房东人很好，就是停车吃饭都不太方便,580,4.6,100.0%,100.0%,88.3%,4,4.9
